ra,dec,u,g,r,i,z
161.583716744479,51.0319428063775,24.23272,22.06796,20.94894,20.8889,20.42231
161.58391023759,51.1963020518197,23.54821,22.03556,21.29645,21.04281,21.49114
161.584030686865,50.8987445231284,22.54121,23.84142,22.67984,22.08039,22.5064
161.584046700618,50.92703908083,23.66824,21.887,20.77818,20.23946,19.58478
161.584492497133,51.1611464658485,23.57826,22.70892,22.56085,22.83789,22.36728
161.58481271353,51.0341958323309,24.75625,22.50841,22.37993,21.95946,21.84421
161.584817260227,51.1144342800385,23.12554,23.67902,22.79764,22.54858,21.18288
161.585030369987,51.0083100590187,22.52276,22.21747,21.95829,20.87621,20.14867
161.585045544452,50.9154770664496,23.66657,22.65227,20.94968,20.26677,19.79057
161.585067653227,51.1571432410114,21.47883,25.50925,25.94008,24.10546,24.02579
161.585287724406,51.0524062819966,24.88976,25.09711,25.02007,24.847,20.98783
161.58537102455,50.9854646039007,27.03787,21.52393,26.8756,25.38392,24.24728
161.586446422857,51.1679285718976,26.02136,22.88805,21.90614,21.26356,21.39668
161.586548507772,50.9095125789805,21.62772,21.39879,21.13326,20.74861,20.65403
161.586782435209,51.0785893445357,22.09761,20.60626,19.69973,19.61978,21.82045
161.586784194577,51.0785810261712,22.40423,22.31238,20.8133,20.83612,20.68462
161.586886575371,50.9770718780899,22.06728,24.57113,24.67182,23.99523,23.21665
161.586919907077,51.0050460083238,24.6527,23.38541,22.98531,22.34002,21.5777
161.587018295063,51.0548115434604,22.52043,21.62501,21.05379,20.7685,20.37654
161.587028641764,51.0547444553284,-9999,-9999,-9999,-9999,-9999
161.587168063,50.929220111298,22.35932,22.45945,21.1867,20.90733,20.36209
161.587314004485,51.082089418989,21.89132,19.80843,19.07828,19.07099,27.55898
161.58741254538,51.2129341426926,26.3351,24.39551,23.46976,24.54823,23.42526
161.588030465394,51.1806823967859,24.11989,23.08158,22.96603,21.83388,21.4463
161.588412585236,51.0967018311878,24.01418,23.26073,22.20749,20.04197,18.84863
161.588609715771,50.9257038797824,25.69446,23.49467,22.10491,21.38872,21.71996
161.588699031901,51.1775564509735,22.91439,22.9759,22.2874,21.64179,21.58691
161.589009590943,50.9862582081762,25.73703,21.02299,24.3858,23.48316,21.61976
